""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"PDE1C",5.273489424,5.845230185,5.818298078,5.61158637,5.578404092,5.680046605,5.865924712,5.616399731,5.585576923,5.444973213,5.441642103,6.206390336,5.48722421,5.82988334,5.577640816,5.542297801
"CSAD",8.316371095,8.444122032,7.85661301,7.924279837,8.002840561,7.582497315,8.083224942,8.290348372,7.968241992,8.167967605,7.743061378,7.989848387,8.395169331,8.221128001,8.263903884,8.038408799
"ATP6V1D",8.769602066,9.033058152,8.873943156,9.207206439,9.196486754,9.568047262,9.087248234,9.180619538,9.284104811,9.289545041,9.027917535,8.746662407,9.129503299,8.587212917,8.885667235,8.981532208
"WNT16",5.058762117,5.048587195,4.987648494,5.154159376,4.917979726,4.833348947,5.304811953,5.029301012,4.866594874,4.848836748,4.978068159,5.167825437,5.155124392,4.86058493,4.971025106,4.893207824
"ZNF589",8.41090896,8.363391441,8.188894818,8.211658247,8.104015925,7.076583505,7.442717473,7.473358768,7.862937075,7.92140297,8.216887627,8.409415304,7.930132217,8.395721745,8.434457911,8.099152888
"EIF3L",11.74468282,11.68002059,11.53493127,11.76035399,11.78514169,11.42755882,11.23823499,11.0616509,11.16297261,11.32873056,11.36237297,11.39949106,11.56613644,11.64405722,11.60955332,11.64127394
"NIP7",7.42932805,7.353192738,7.183358314,7.406235558,7.531356223,7.481882222,6.949820309,7.236895996,7.750618117,7.578218567,7.632384668,7.296194458,7.301933643,7.563666379,7.752994453,7.848395578
"RWDD1",5.879945263,6.262072484,6.221699308,6.253534971,6.151827802,7.721558673,5.91372133,6.01422786,6.489902951,6.372129254,6.370671708,6.193799672,6.610019686,6.260263618,6.146318401,6.513326847
"PDE2A",6.681710475,6.885693286,6.657755691,6.716379717,6.777706359,6.894025378,6.925993431,6.644961075,7.002534339,6.361088307,6.458984586,6.374990132,6.240835443,6.465828624,6.153209701,6.783431302
"TRPV2",8.816096254,8.888551356,8.694633862,8.812015046,9.147203011,8.31083751,8.713313273,8.947385654,8.992364993,9.131503186,8.895618626,9.184792739,8.587817542,9.045202346,8.970984981,9.047852644
"COMMD10",6.551271419,6.519840873,6.881015242,6.944279053,7.27643025,7.761499903,6.756171182,7.036552785,7.033831556,7.182544728,6.93489925,6.729756851,6.903163696,7.111254199,7.153388935,7.083346597
"WDR83OS",10.15884984,10.15810139,10.22125393,10.27731394,10.35410207,10.13415168,10.04711533,10.1102676,10.25696405,10.18784462,10.28281971,10.25081312,10.32662855,10.47859505,10.33213845,10.50529336
"TRAPPC4",8.819031471,8.892173188,8.759290141,9.039680388,9.123647157,9.197991526,8.320341711,8.824684279,8.970046046,9.218560249,9.107895328,8.831814087,9.282864754,8.994845126,9.134327494,9.253939383
