"","TCGA-AG-3731-11A-01R-1736-07","TCGA-AF-2691-11A-01R-A32Z-07","TCGA-AG-3732-11A-01R-1660-07","TCGA-AH-6643-11A-01R-1830-07","TCGA-AF-3400-11A-01R-A32Z-07","TCGA-AG-3742-11A-01R-1660-07","TCGA-AG-3725-11A-01R-1736-07","TCGA-AF-2692-11A-01R-A32Z-07","TCGA-AF-5654-11A-11R-1660-07","TCGA-AF-2689-11A-01R-A32Z-07"
"SNX5",51.7251,36.1142,48.7929,39.9708,45.6907,54.1471,53.6872,38.487,40.9095,32.1732
"RPL6",536.7926,377.8594,483.646,343.6632,396.2134,638.2319,606.0913,396.4836,299.9017,361.9568
"SIRPG",3.8174,2.8184,2.4056,6.0814,1.8204,2.5933,1.9219,3.5412,1.7318,7.0912
"MAPKAPK5",9.0431,8.6992,9.5472,8.2895,12.1121,9.5463,9.601,8.7444,11.8281,7.6414
"ESF1",16.0149,15.9993,22.7965,17.5205,16.5724,16.2949,7.503,16.0959,17.6168,13.3862
"RBBP9",23.1719,17.2854,28.6395,16.3869,15.7801,28.8058,22.2002,20.3837,12.7837,13.7273
"ANAPC5",26.6125,25.6251,26.002,24.0261,31.1105,31.2894,35.3161,28.2065,23.3275,22.746
"SLC23A2",11.0335,10.6468,20.3087,11.9009,6.3799,11.1863,3.5761,19.2909,5.3275,9.4719
"SLC8B1",17.8995,21.3795,16.1945,22.3493,27.8314,13.0921,10.539,15.8677,21.7063,19.9976
"TMEM230",113.7925,76.8562,127.757,84.1677,76.0435,170.7963,169.0169,103.4288,66.2009,84.8467
"KDM2B",4.7947,5.5351,6.9338,5.8574,4.6388,4.2821,2.1931,6.686,4.0282,5.8086
"TASP1",11.2016,9.5862,14.3573,9.2568,10.74,13.4599,9.8852,10.889,8.5885,7.145
"OAS1",41.5739,35.6958,32.7792,59.4254,43.6334,44.1954,38.3799,24.076,67.3623,52.6688
"GCN1",33.9519,52.1653,38.969,33.5003,61.4404,21.5391,12.0228,51.9973,42.1129,38.062
"RPLP0",1474.7466,1011.9306,1078.0956,665.0768,1300.7293,1849.475,2638.2385,1066.2064,920.8394,934.7388
"PXN",26.264,35.248,23.0739,24.1436,35.5415,16.4292,13.3291,28.9051,34.8076,25.1658
"SIRT4",3.5019,0.7822,5.012,2.5274,1.611,5.1385,4.5025,1.5593,0.7133,2.7034
