"","TCGA-AH-6544-01A-11R-1830-07","TCGA-AH-6547-01A-11R-1830-07","TCGA-AH-6549-01A-11R-1830-07","TCGA-AH-6644-01A-21R-1830-07","TCGA-CL-4957-01A-01R-1736-07","TCGA-EI-6510-01A-11R-1736-07","TCGA-EI-7004-01A-11R-1928-07","TCGA-G5-6233-01A-11R-1736-07","TCGA-G5-6572-01A-11R-1830-07","TCGA-AF-2691-01A-01R-0821-07","TCGA-AF-2693-01A-02R-1736-07","TCGA-AF-5654-01A-01R-1660-07","TCGA-AG-3580-01A-01R-0821-07","TCGA-AG-3581-01A-01R-0821-07","TCGA-AG-3587-01A-01R-0821-07","TCGA-AG-3599-01A-02R-0826-07","TCGA-AG-3726-01A-02R-0905-07","TCGA-AG-3732-01A-11R-1660-07","TCGA-AG-3742-01A-11R-1660-07","TCGA-AG-3878-01A-02R-0905-07","TCGA-AG-3882-01A-01R-0905-07","TCGA-AG-3883-01A-02R-0905-07","TCGA-AG-3890-01A-01R-1119-07","TCGA-AG-3892-01A-01R-1119-07","TCGA-AG-3896-01A-01R-1119-07","TCGA-AG-A002-01A-01R-A002-07","TCGA-AG-A008-01A-01R-A002-07","TCGA-AG-A014-01A-02R-A002-07","TCGA-AG-A015-01A-01R-A002-07","TCGA-AG-A025-01A-01R-A00A-07","TCGA-AG-A02X-01A-01R-A00A-07","TCGA-AH-6897-01A-11R-1928-07","TCGA-CI-6623-01B-11R-1830-07","TCGA-CI-6624-01C-11R-1830-07","TCGA-DC-4749-01A-01R-1736-07","TCGA-DC-5337-01A-01R-1660-07","TCGA-DC-6157-01A-11R-1660-07","TCGA-DC-6158-01A-11R-1660-07","TCGA-DC-6160-01A-11R-1660-07","TCGA-AG-3574-01A-01R-0821-07","TCGA-AG-3575-01A-01R-0821-07","TCGA-AG-4022-01A-01R-1736-07","TCGA-AG-A01W-01A-21R-A083-07","TCGA-AG-A01Y-01A-41R-A083-07","TCGA-AG-A026-01A-01R-A00A-07","TCGA-AG-A02N-01A-11R-A083-07","TCGA-DT-5265-01A-21R-1830-07","TCGA-AF-2692-01A-01R-0821-07","TCGA-AF-3400-01A-01R-0821-07","TCGA-AF-A56K-01A-32R-A39D-07","TCGA-AF-A56N-01A-12R-A39D-07","TCGA-AG-3578-01A-01R-0821-07","TCGA-AG-3591-01A-01R-1736-07","TCGA-AG-3592-01A-02R-1736-07","TCGA-AG-3593-01A-01R-0821-07","TCGA-AG-3594-01A-02R-0821-07","TCGA-AG-3598-01A-01R-0826-07","TCGA-AG-3608-01A-01R-0826-07","TCGA-AG-3611-01A-01R-0826-07","TCGA-AG-3881-01A-01R-0905-07","TCGA-AG-3887-01A-01R-1119-07","TCGA-AG-3894-01A-01R-1119-07","TCGA-AG-3898-01A-01R-1119-07","TCGA-AG-3902-01A-01R-A32Z-07","TCGA-AG-4001-01A-02R-1119-07","TCGA-AG-4008-01A-01R-1119-07","TCGA-AG-4015-01A-01R-1119-07","TCGA-AG-A00H-01A-01R-A00A-07","TCGA-AG-A00Y-01A-02R-A002-07","TCGA-AG-A011-01A-01R-A002-07","TCGA-AG-A01J-01A-01R-A00A-07","TCGA-CL-5918-01A-11R-1660-07","TCGA-DC-6682-01A-11R-1830-07","TCGA-DY-A0XA-01A-11R-A155-07","TCGA-DY-A1DC-01A-31R-A155-07","TCGA-DY-A1DE-01A-11R-A155-07","TCGA-EF-5831-01A-01R-1660-07","TCGA-EI-6506-01A-11R-1736-07","TCGA-EI-6507-01A-11R-1736-07","TCGA-EI-6514-01A-11R-1736-07","TCGA-EI-6882-01A-11R-1928-07","TCGA-F5-6465-01A-11R-1736-07","TCGA-F5-6571-01A-12R-1830-07","TCGA-F5-6811-01A-11R-1830-07","TCGA-F5-6812-01A-11R-1830-07","TCGA-F5-6814-01A-31R-1928-07","TCGA-F5-6861-01A-11R-1928-07","TCGA-CI-6622-01A-11R-1830-07","TCGA-EF-5830-01A-01R-1660-07","TCGA-EI-6883-01A-31R-1928-07","TCGA-AG-3586-01A-02R-0821-07","TCGA-AG-3725-01A-11R-1736-07","TCGA-AG-3727-01A-01R-0905-07","TCGA-AG-A020-01A-21R-A083-07","TCGA-AG-A036-01A-12R-A083-07","TCGA-AF-6655-01A-11R-1830-07","TCGA-DC-6155-01A-11R-1660-07","TCGA-DY-A1H8-01A-21R-A155-07","TCGA-EI-6881-01A-11R-A32Z-07","TCGA-EI-6884-01A-11R-1928-07","TCGA-EI-6917-01A-11R-1928-07","TCGA-G5-6641-01A-11R-A32Z-07","TCGA-AF-6136-01A-11R-1830-07","TCGA-AG-3601-01A-01R-0826-07","TCGA-AG-3612-01A-01R-0826-07","TCGA-AG-3728-01A-01R-0905-07","TCGA-AG-3885-01A-01R-0905-07","TCGA-AG-3893-01A-01R-1119-07","TCGA-AG-3901-01A-01R-1119-07","TCGA-AG-3909-01A-01R-1119-07","TCGA-AG-A00C-01A-01R-A002-07","TCGA-AG-A01L-01A-01R-A002-07","TCGA-AG-A032-01A-01R-A00A-07","TCGA-AH-6903-01A-11R-1928-07","TCGA-BM-6198-01A-11R-1736-07","TCGA-CI-6621-01A-11R-1830-07","TCGA-DC-4745-01A-01R-A32Z-07","TCGA-DC-5869-01A-01R-1660-07","TCGA-DC-6683-01A-11R-1830-07","TCGA-DY-A1DD-01A-21R-A155-07","TCGA-EI-6508-01A-11R-1736-07","TCGA-EI-6511-01A-11R-1736-07","TCGA-EI-6512-01A-11R-1736-07","TCGA-EI-6513-01A-21R-1736-07","TCGA-F5-6863-01A-11R-1928-07","TCGA-F5-6864-01A-11R-1928-07","TCGA-G5-6235-01A-11R-1736-07","TCGA-AF-2687-01A-02R-1736-07","TCGA-AF-2690-01A-02R-1736-07","TCGA-AF-3911-01A-01R-1736-07","TCGA-AF-A56L-01A-31R-A39D-07","TCGA-AG-3600-01A-01R-0826-07","TCGA-AG-3602-01A-02R-0826-07","TCGA-AG-3609-01A-02R-0826-07","TCGA-AG-3999-01A-01R-1119-07","TCGA-AH-6643-01A-11R-1830-07","TCGA-CL-5917-01A-11R-1660-07","TCGA-DY-A1DF-01A-11R-A155-07","TCGA-EI-6509-01A-11R-1736-07","TCGA-F5-6464-01A-11R-1736-07","TCGA-F5-6813-01A-11R-1830-07","TCGA-AF-3913-01A-02R-1119-07","TCGA-AF-6672-01A-11R-1830-07","TCGA-AG-3582-01A-01R-0821-07","TCGA-AG-3583-01A-01R-0821-07","TCGA-AG-3584-01A-01R-0821-07","TCGA-AG-3605-01A-01R-0826-07","TCGA-AG-3731-01A-11R-1736-07","TCGA-AG-4005-01A-01R-1119-07","TCGA-AG-4007-01A-01R-1119-07","TCGA-AG-4021-01A-01R-1736-07","TCGA-AG-A016-01A-01R-A002-07","TCGA-AG-A01N-01A-01R-A00A-07","TCGA-AG-A023-01A-01R-A00A-07","TCGA-AG-A02G-01A-01R-A00A-07","TCGA-CI-6619-01B-11R-1830-07","TCGA-EI-6885-01A-11R-1928-07","TCGA-EI-7002-01A-11R-1928-07","TCGA-AF-4110-01A-02R-1736-07","TCGA-CI-6620-01A-11R-1830-07","TCGA-DC-6154-01A-31R-1928-07","TCGA-DC-6156-01A-11R-1660-07","TCGA-DC-6681-01A-11R-A32Z-07","TCGA-DY-A1DG-01A-11R-A32Y-07","TCGA-F5-6702-01A-11R-1830-07"
"ENPP4",25.7249,28.4518,26.7653,18.6683,20.8157,24.275,24.4498,11.0265,32.6784,20.4338,27.6725,20.4679,20.2363,11.5202,21.6112,15.4685,3.0417,24.2844,28.0487,4.1948,4.6015,4.0833,13.0054,15.3544,20.2493,38.1192,8.7969,3.0564,20.4974,12.3075,11.6263,29.4718,28.6827,25.1516,19.8226,26.6024,40.6713,26.4463,47.1649,17.7583,20.4248,32.109,17.2783,18.3702,11.4711,15.0372,9.1615,16.5061,10.299,13.8384,27.8116,8.9909,36.0323,24.4588,19.3741,16.2747,16.2189,12.2791,17.2232,3.6904,13.9995,13.4281,15.5277,11.721,14.8184,18.8034,16.3139,11.7998,11.8646,6.0794,8.3873,15.1105,45.725,24.222,15.159,24.2409,43.0269,30.0971,18.7552,25.7405,46.5622,33.1529,22.1509,24.8053,18.9465,19.4468,27.6754,22.7646,22.8826,12.5129,10.2956,42.0886,4.0727,14.7599,16.7018,24.6706,3.1909,5.4305,34.6915,45.2197,18.6586,29.5693,30.9779,16.6353,13.48,7.2504,2.8822,19.2655,21.0984,12.7898,11.3628,13.2702,13.7493,38.5894,19.9276,22.7101,26.506,48.589,32.2979,6.2237,31.009,22.756,16.2958,21.3406,18.8787,23.5966,31.6007,27.6681,13.6668,26.3029,9.9293,16.2158,32.4286,6.3355,7.8504,31.6967,19.431,6.9627,6.3978,22.2687,25.7107,24.1623,22.703,27.4084,23.9928,22.7785,12.7801,20.2263,13.7023,13.3807,189.0419,9.1251,9.3158,8.5163,13.865,16.9038,21.9727,30.0782,20.2274,13.1574,36.7312,46.3335,22.3056,20.4818,20.4157
"SEMA3F",11.9725,15.8837,19.2835,23.1221,33.6663,58.4734,53.7147,37.1373,24.2392,28.7445,13.2149,18.7403,33.1534,21.1013,23.5458,35.925,58.636,27.0162,39.4495,28.3585,40.5603,40.9942,31.0302,32.4705,67.3258,65.6866,51.2083,11.0627,23.8861,110.2282,90.7922,10.7038,25.5569,19.9019,12.4461,22.4846,25.9023,46.8299,12.4856,26.595,14.9218,17.2278,17.5218,49.9461,20.561,19.5884,32.0419,21.9605,46.005,20.0311,44.8377,24.4637,16.7014,20.757,61.579,14.1012,17.4286,41.356,43.6282,56.9556,27.8589,86.1006,11.6591,21.5726,38.1549,42.8266,23.7653,13.9077,38.0808,21.8784,24.2129,15.9645,7.3047,48.7686,23.8018,15.2951,24.6961,32.1725,43.4962,17.1688,68.4296,69.3686,21.3602,17.5986,26.6361,20.6317,37.3324,27.7012,39.6121,49.736,89.5533,44.0669,66.1981,33.404,35.2545,33.9828,11.6304,26.7514,48.681,36.4514,19.6264,31.8472,29.3535,18.2312,20.686,43.0823,33.2816,28.7786,35.1291,28.0069,25.5133,128.9011,12.6082,16.3543,9.1238,33.4589,41.0565,28.782,6.8985,26.3619,36.3778,31.1854,18.8357,43.0757,94.0675,38.2235,10.3736,27.6559,22.5676,34.4366,13.384,30.9744,6.3069,15.9494,30.3083,36.8307,26.6016,25.6361,24.9426,31.1618,10.107,58.0786,48.25,21.0837,14.2463,17.3634,26.7681,36.1772,34.2883,20.5782,51.4918,18.7772,13.4467,43.348,66.3685,35.6959,37.9502,31.5738,18.6452,42.5106,29.1251,35.4336,55.1038,20.7434,23.5254
"CFTR",66.47,60.1806,45.0073,75.8057,71.8526,196.2651,8.1636,34.5592,178.5281,96.5157,77.2987,108.2634,41.9566,101.1371,26.4119,70.3859,14.1001,17.8527,152.5752,63.3715,29.6446,14.8458,66.009,60.9852,60.5384,4.4239,56.5584,35.6594,117.3048,43.5554,2.3019,70.4564,132.993,65.1268,59.7515,56.0594,184.3086,75.2864,127.2178,97.1389,2.151,54.7087,132.399,11.8004,58.4465,38.5094,23.3594,58.6065,6.2767,135.5477,25.6,31.7296,42.7322,156.0682,57.8918,20.7666,107.4661,100.3603,44.2711,6.2058,66.4301,24.1455,79.1589,32.9975,88.6025,91.1411,50.2048,57.6739,40.4123,153.651,53.5622,90.3507,106.3663,83.8254,67.034,91.8355,113.2689,65.1896,0.4729,133.1443,39.2702,18.441,67.8928,151.824,37.8913,37.7668,86.095,57.8171,70.3368,156.7445,19.9573,61.275,24.5861,48.4656,133.46,184.782,25.012,13.5399,75.9817,126.1498,84.2079,62.4273,59.9838,105.3333,97.0151,30.8149,55.7673,51.444,47.2016,66.297,121.6849,48.6642,44.9066,107.1285,24.4441,74.8066,85.8977,78.453,151.5167,43.7198,49.2273,29.2669,58.6464,91.6093,86.3772,100.7587,179.9088,4.8932,54.9482,77.531,90.7784,34.5332,55.6431,65.5553,12.2675,74.4252,128.0989,9.1918,33.1064,18.5777,78.5743,72.1156,42.2045,83.5216,56.255,29.6142,100.5887,86.8732,62.6475,33.7485,21.1943,86.9611,64.1847,32.4394,35.0242,33.4027,56.4139,239.0161,25.1634,155.4412,45.8676,52.1713,81.1918,44.1251,45.852
"ANKIB1",19.3595,20.561,27.9543,29.1542,22.3366,28.5682,44.314,16.8077,17.9412,14.4142,20.8967,21.0273,18.7892,16.1656,9.6875,18.771,7.4392,29.163,40.0031,11.2466,7.635,7.9901,16.3703,11.3261,18.3713,22.8465,13.0435,21.5671,19.4153,12.5568,16.2081,33.1449,32.3008,20.4438,26.5468,20.5705,43.0856,50.5073,39.3681,11.1462,35.6366,35.2458,22.0378,28.4134,11.5261,20.759,26.4031,19.1732,13.5778,29.6537,28.5615,23.2851,18.1916,31.921,16.393,20.3534,14.1316,17.9007,17.2991,6.7154,12.7369,13.8004,21.5624,18.9439,18.4156,20.862,18.4666,14.2245,14.2654,11.5018,14.8028,21.8744,43.2761,30.3914,19.7831,22.1844,30.0389,24.7647,37.7407,27.043,41.5855,30.8738,26.6086,50.3162,16.9597,28.6296,23.8467,17.8385,27.546,24.3431,12.0564,33.3624,6.2879,22.7105,22.0524,35.915,2.3901,9.6666,27.316,30.1677,31.1233,18.7662,27.8415,15.9572,18.176,8.2965,9.1501,20.4926,20.9375,21.3093,11.5904,19.0824,12.5217,29.6613,13.1866,34.6294,22.6579,39.5556,34.0798,20.0351,34.3082,30.9894,24.5748,29.9231,21.8062,36.306,27.3588,34.9117,17.744,19.526,21.2624,15.7942,11.8892,12.0212,14.901,28.8533,38.274,10.2109,14.7054,32.3447,16.4992,26.5702,22.9967,26.9341,11.9522,19.034,13.6177,32.9078,14.2635,16.6852,30.9289,21.6092,19.5755,12.1664,19.2565,27.2714,32.3391,29.8593,18.5583,30.5462,28.3286,55.0085,24.5469,17.3835,29.4185
"CYP51A1",5.316,2.5404,10.4356,6.9656,5.3391,4.6678,4.4603,2.9813,5.1704,3.0074,4.4861,2.6547,3.7595,5.6287,3.2305,10.5302,11.9213,4.1629,3.7659,15.8967,7.9931,4.5979,4.0325,4.7994,6.1085,7.9123,5.2175,6.0331,7.6521,7.8802,29.2143,24.3418,7.9867,6.2559,8.1402,4.4414,6.7582,4.0365,5.2496,3.2892,1.9788,2.5305,9.7181,8.3666,6.09,3.154,0.7752,10.333,3.2078,4.4679,5.6214,6.9358,3.2273,7.9862,4.9088,7.4872,6.8711,10.1287,6.1303,13.3668,4.7492,5.6348,17.4966,5.5763,7.9593,6.1007,8.5428,11.3096,6.9338,13.0616,5.7019,2.0677,5.301,3.4093,2.0206,3.6976,2.6698,4.8606,6.03,4.8021,6.0072,3.9425,3.2745,4.277,1.2641,3.9083,4.7166,6.7142,3.7328,4.5418,9.1353,5.1261,25.166,6.8341,6.3809,7.0628,0.5177,0.0789,3.4489,5.451,5.6194,2.2707,4.1795,7.466,6.7987,16.0447,11.3297,6.4504,8.1741,10.0278,9.4375,11.2915,5.8183,2.6653,1.3717,5.8186,4.5249,3.0694,6.398,0.6345,8.2754,3.966,4.1692,3.6543,2.4765,5.4409,2.6773,3.2378,1.9217,3.8224,5.835,6.3257,2.9839,6.4011,4.9372,5.7378,3.2688,0.4254,1.4273,11.7985,6.3563,21.7343,1.9995,9.1689,3.2092,8.3582,10.2838,6.2086,10.6258,11.4575,4.8652,14.3134,11.1145,8.4422,2.3392,4.4756,4.8983,9.8715,4.0509,7.4095,2.3202,3.3462,7.5732,1.3805,3.5182
"KRIT1",2.6039,2.3858,2.6084,3.2873,2.7757,3.0897,2.8147,3.2849,4.2546,3.039,2.4485,3.055,2.8004,2.9883,1.5062,2.9316,0.3712,4.9196,6.22,1.1527,1.1298,1.0399,2.2938,2.5235,2.0395,4.1477,2.3186,3.6138,4.1623,2.1483,3.9754,2.2117,3.7889,2.1467,4.151,2.2414,5.9946,4.8571,4.1473,2.1739,3.2829,5.5011,5.4013,3.5588,2.7271,3.834,4.804,4.2019,2.258,4.2942,3.5604,4.8735,2.0274,3.8221,3.42,2.5999,2.2229,3.3403,4.3466,1.2628,1.7218,1.7693,5.0121,2.7398,1.9368,3.9977,2.324,2.4409,3.1994,2.9023,2.8032,4.2539,3.605,4.3436,3.1346,3.7461,3.1891,2.0603,4.0682,4.3048,3.6828,2.6874,2.8897,5.1809,2.4216,2.1115,2.6829,2.0766,4.4149,4.6673,3.0877,4.2976,0.729,3.9079,4.9908,4.659,0.7853,3.2484,2.7878,2.7743,2.7955,2.8721,5.5177,2.7672,3.2672,0.9735,1.217,3.2744,3.3768,2.94,2.3007,2.9124,2.9665,2.4965,2.5401,4.4472,2.5277,4.959,4.9952,6.4567,4.5341,3.3155,2.8881,3.2011,5.4112,5.2503,3.9161,4.1241,2.4011,2.7243,4.0094,2.6873,1.9764,1.9105,3.6108,3.7316,4.6034,3.8655,2.0889,4.0807,3.0224,3.3833,3.5576,4.0216,1.5305,4.5382,3.4423,3.8659,2.4497,1.898,3.4069,3.1104,4.4109,2.1599,4.2579,4.3629,3.7504,5.0602,2.0428,3.3454,5.0713,5.2308,2.5761,4.2136,3.6279
"RAD52",3.3272,5.2646,10.5423,5.4418,6.0466,6.7975,6.3539,12.1233,3.0817,4.7693,6.818,8.802,8.4532,4.9112,9.629,4.8818,7.1264,10.2795,6.205,3.5869,6.3781,6.0779,5.9163,5.2784,5.932,7.822,5.4626,20.3454,7.5711,5.3219,6.3653,6.7088,5.2702,4.8628,8.3771,3.8913,8.2997,7.503,10.7631,7.5614,4.2646,10.4847,8.0231,13.0558,7.286,12.1897,7.2262,7.2709,3.5195,9.4662,10.9199,12.4378,4.2803,7.4302,6.0539,9.825,5.5195,5.7141,11.7402,13.5566,9.6525,5.1932,8.0563,10.9534,9.7724,8.0322,2.4742,5.1299,8.7781,4.5424,5.873,4.2403,7.404,99.4277,3.7717,8.419,5.5969,7.3974,13.9391,4.085,9.2065,3.7025,6.8953,6.808,5.2949,8.1957,7.4469,3.4217,4.7805,10.0777,7.2977,5.781,6.1633,7.0472,7.1538,6.7213,1.1045,15.2438,4.5404,7.8694,10.1962,12.4567,4.4487,6.7248,5.2362,2.7496,3.2773,5.5671,6.2629,5.2623,6.1475,8.2043,5.5885,5.2456,5.5925,8.5694,4.9297,7.6813,6.3315,6.6672,8.3938,3.7122,9.5919,6.4867,7.3782,12.0764,6.063,12.4692,4.3378,8.3238,14.2008,6.7773,2.3065,4.0256,6.3404,6.5992,8.5323,3.3425,5.7686,4.5614,3.5026,5.923,11.9165,8.6575,7.4182,7.7413,6.7502,19.7238,7.9173,4.1588,4.4339,7.0161,4.6012,4.7671,14.2658,7.5496,12.7383,8.9207,6.0455,4.5029,7.8793,5.6452,5.8173,1.8603,3.1848
"BAD",13.1577,14.6898,9.443,9.3072,13.2573,12.4852,18.6235,14.215,11.3398,42.254,9.4567,5.3584,30.1464,44.426,43.0033,58.2229,27.6879,10.3807,12.7965,26.7814,31.2284,43.9514,44.1775,50.2479,37.0402,35.4744,30.3193,31.2579,32.609,38.4158,32.3922,14.7844,16.7988,9.7293,22.3403,15.9062,12.198,10.6925,6.1354,29.4495,125.123,10.5786,38.0126,37.5566,31.0557,21.9605,8.7669,20.1685,42.998,10.4411,16.3511,24.5302,10.0023,16.9713,31.5279,23.1146,50.0435,49.9168,33.0035,34.0208,40.652,52.0648,25.7477,18.926,50.8889,45.8821,49.2685,30.8061,33.2613,41.9148,41.8228,12.0336,10.4172,10.8076,15.2571,18.7152,9.8372,14.1896,10.5756,11.8059,8.7573,10.8722,9.9589,9.8443,10.4471,16.7402,17.884,14.2896,11.1925,22.2439,21.5194,13.6174,24.9152,33.3688,19.8676,13.9185,82.6005,8.5072,14.5019,21.0435,9.4852,17.7173,11.1488,57.1667,46.5815,27.0511,30.3414,52.9727,46.7986,50.4742,48.2842,52.9885,35.1116,10.3309,8.1711,14.553,22.1783,15.135,7.9315,8.2789,17.2162,12.0097,13.2199,12.4203,20.1424,14.6946,9.3752,10.3424,15.6783,20.0721,16.3496,39.3752,53.7141,44.2491,42.9471,7.0402,9.9129,7.6627,5.5002,14.6825,9.5078,63.3865,10.184,34.5794,39.7175,69.7053,62.747,13.5969,39.0857,42.8606,19.2288,34.6688,39.0622,25.6692,43.0589,15.1599,16.354,16.4433,15.7009,12.9508,18.465,10.9249,18.0158,19.653,13.4498
"LAP3",106.2891,74.1574,119.3988,112.2508,91.9224,94.496,96.6456,157.9153,57.4744,82.0753,126.2094,64.7152,112.9608,77.7758,87.9417,121.6181,55.6969,50.6075,93.1957,54.5627,63.2783,39.305,38.9525,121.4201,71.7281,97.5426,55.8291,68.8219,47.3109,63.3483,46.4344,96.844,119.6952,71.1342,173.68,119.686,99.2479,177.5126,83.6021,58.531,189.6044,129.3817,113.8139,168.4751,58.0798,86.4083,78.9321,74.5721,94.9966,66.4507,86.7952,84.9414,37.5304,41.9684,65.3171,188.1561,113.112,120.5999,43.5922,52.4815,97.2692,69.2226,104.8038,91.2316,73.0969,100.4283,52.084,41.7042,75.5439,72.0035,52.9348,48.2453,101.9461,68.1907,74.0206,112.1762,65.1341,93.6933,122.5765,51.206,146.4642,89.6776,74.8428,114.6731,114.2269,170.5824,98.9533,71.0162,88.0259,135.125,97.6834,49.8753,47.6881,80.3531,71.3922,119.2243,14.7218,8.2956,74.6785,132.6537,193.8544,42.1711,66.4781,102.5571,69.3992,50.5831,46.6515,37.1124,96.0533,57.3743,64.9083,52.8095,42.8689,85.1372,51.186,136.2302,93.9131,117.1882,87.2562,25.757,111.4077,182.5686,121.2543,59.6078,79.312,94.3924,109.1205,136.0115,138.4204,63.4036,79.0326,69.468,55.4519,82.3388,40.3848,54.0263,118.0982,13.8416,71.2457,149.8639,63.9248,77.4295,48.7307,70.4504,63.742,102.9014,48.6684,141.2482,45.9329,66.4193,129.8986,56.8799,70.577,63.76,48.3384,74.7234,114.5061,46.1081,76.8513,57.6837,58.988,109.1012,80.7892,53.1326,73.8138
"CD99",75.2233,75.6503,179.6351,93.8586,210.2771,110.8251,214.7766,117.1751,196.6593,59.6548,67.1035,102.6377,92.2375,112.6351,113.7987,133.7304,58.0917,78.7682,152.9353,94.6162,72.5979,139.1947,95.9859,121.907,106.7545,127.7279,154.597,105.6151,119.9639,87.1321,78.0738,191.0673,87.9665,71.9826,115.0703,209.2183,240.3507,191.4239,61.7277,107.6589,207.7686,190.3236,144.3705,85.2231,62.1003,52.2578,167.4972,74.3912,185.4293,76.9888,219.2222,56.9629,86.2415,104.3939,103.7709,61.3458,139.7892,223.3689,132.3118,51.9438,207.8688,126.6955,122.3156,104.4348,77.4454,174.6806,219.7637,147.3273,102.9933,87.6191,49.0536,62.2858,101.5753,131.1438,55.016,156.9505,69.3014,60.6294,115.2824,110.0948,84.6341,91.0657,75.6523,109.9023,98.8976,174.2989,96.8013,104.7312,70.4021,100.3917,99.9596,126.685,46.3381,79.9027,131.4302,187.1831,175.9179,26.8731,80.2599,101.2527,174.2014,112.1347,88.7266,78.359,88.2446,126.4996,37.1599,174.1145,216.5186,31.9941,127.7652,88.8992,99.1185,118.1804,77.6195,124.5527,65.8149,188.3425,150.4207,94.4671,153.646,97.1389,125.7185,129.7297,158.0975,109.3557,155.0215,196.5154,134.6687,202.9867,79.2922,97.3425,83.2904,268.8087,133.8766,36.6023,187.991,76.4412,114.607,215.647,170.3514,141.7386,68.8243,86.3872,77.2145,51.471,226.1917,141.0806,118.1515,58.904,234.3705,73.9909,113.7054,116.7345,77.27,109.8632,109.6655,206.3308,151.2577,221.8055,167.3414,299.7676,140.4149,101.542,249.7218
"HS3ST1",7.1579,6.1908,4.852,5.9345,3.9329,4.8823,5.0612,3.4733,3.7884,5.777,5.4828,3.8577,7.5202,6.1626,9.4516,12.2489,23.3565,2.4358,4.1026,8.6066,11.1288,7.5725,4.0506,7.0063,4.223,20.3488,6.8103,5.7055,3.1099,1.9649,7.6206,5.8467,3.1616,4.5266,7.064,5.6865,5.6535,4.7898,6.4054,3.851,15.497,5.1489,4.1725,5.4121,7.903,6.5009,12.6357,9.1412,7.67,5.4553,8.0802,13.8846,3.0468,3.5271,5.3824,41.5914,5.3812,4.8263,5.7785,8.2764,8.2984,4.1937,15.2552,2.5311,6.1495,4.7489,4.8834,3.2278,2.6237,3.7004,4.6975,4.4247,6.6872,3.6466,2.4325,5.8155,3.2736,3.2299,7.6323,4.1547,8.744,5.204,2.3023,2.5875,3.1723,10.0545,6.0847,4.9632,3.6191,6.3253,3.582,3.391,16.2031,7.6315,2.5449,4.1975,3.9862,1.228,4.8751,4.7775,3.8607,4.6056,4.9594,5.2113,6.3426,5.8488,4.5698,3.1973,5.5054,5.9758,3.665,7.5293,5.0012,5.2839,2.639,11.372,4.4978,8.7167,5.2161,3.4022,6.6007,4.5423,4.6534,2.94,6.7262,3.8645,3.7628,2.3288,3.5393,5.909,5.0499,8.5704,4.443,3.3008,3.1902,4.601,3.7662,1.2995,2.9229,10.515,1.9878,1.8467,4.8556,4.7191,6.3853,6.6,5.1455,6.0054,4.4895,5.0185,13.7243,5.3689,8.9911,3.3421,4.2998,3.1351,6.2267,2.9965,5.7137,2.0293,4.5886,7.2503,6.6094,2.8127,2.5897
"AOC1",432.3047,491.7731,127.4188,120.926,155.3835,477.2443,188.6928,152.7433,157.42,149.0684,201.665,258.3547,80.224,368.8389,153.4747,222.2625,243.3308,100.6699,194.0817,213.5363,137.857,65.1641,206.4682,111.5011,377.154,1.1087,162.0858,298.8593,225.3916,154.9272,176.4745,232.1022,189.9549,586.8286,206.3414,106.1095,323.418,184.2913,184.0885,82.4591,46.0725,293.1805,127.5098,45.8948,73.1014,129.9609,92.2786,172.9583,83.0113,98.4864,136.4016,235.5901,116.0325,223.6662,106.1965,129.7999,67.6091,192.2403,219.5937,152.8331,147.2031,311.9026,118.8558,201.5892,175.5428,315.6718,414.3115,210.364,220.7867,127.9894,342.2389,151.1063,54.7917,73.1572,191.5603,104.4581,167.0434,374.2795,47.558,287.9753,153.9537,81.4691,146.3513,360.6187,126.6023,6.8867,127.2542,394.1797,521.3331,102.5975,203.0487,436.3564,467.1984,110.406,76.8255,115.2373,134.499,38.276,172.9772,352.907,4.1726,295.6323,277.5878,147.3397,190.77,342.5821,698.0012,415.435,444.725,377.5907,172.6243,357.5102,311.081,117.0385,72.4604,182.7397,53.8855,140.1415,222.4796,109.0796,80.4704,315.9645,223.8794,164.0441,225.1037,367.1095,356.9786,101.093,75.5225,144.3491,52.5298,137.929,77.8408,229.8617,236.212,155.1728,196.9421,361.8799,140.4956,111.3641,244.785,445.5293,178.7908,234.824,202.597,440.7123,68.5192,100.5545,161.8856,259.9112,518.6499,119.6261,128.0376,142.6746,225.0968,232.439,121.1744,259.3321,209.8459,210.6214,224.9164,364.5747,319.1479,197.9273,278.8858
