""," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"DCTN2",10.42566267,10.36149048,10.39316142,10.32369666,10.37512583,10.4186386,10.34996414,9.491133787,10.27367769,10.32697537,10.33641545,10.58305485,10.52127576,10.617217
"ANP32B",12.02702086,11.97893766,12.43682839,11.72192957,11.78424384,12.30365217,11.99265735,10.8387707,11.54951148,11.61775095,11.66142604,12.12948785,11.95037568,11.73545342
"LAMTOR5",9.142007975,9.247420211,9.223189535,8.666595933,9.213131363,9.206374105,9.255141489,7.94196628,9.202531228,9.093435662,9.306319976,9.398719575,9.128072865,9.306481106
"PROCR",4.373930621,4.675964232,4.658847266,4.9122862,4.54308624,4.794135594,4.514616532,5.132745745,4.674373381,4.555674379,4.640880691,4.64181786,5.107471781,4.53367912
"TM9SF1",7.833086353,7.547482709,7.61246276,7.459077836,7.853409634,7.759675461,8.197876554,7.455405783,8.029349944,7.924520529,7.869626224,7.868538906,7.723296243,8.021186642
"PRDX4",7.508671115,7.444510583,7.618023203,6.826458101,7.304818136,7.733396421,7.75540313,5.21264429,7.855612137,7.79800998,8.094275651,8.204004718,7.874737626,7.986574776
"CEBPG",5.897015378,5.822674004,6.227634694,5.396562006,5.752379693,6.062725431,5.891777347,5.36090724,6.053462467,6.481009033,6.349091215,6.66525293,6.223484369,6.073844584
"ARL6IP5",10.43954297,10.48667323,10.69744296,9.618232221,10.28193577,10.62649813,10.57990119,9.387688457,10.35359801,10.45542884,10.43269528,10.54982596,10.20923071,10.27383458
"AGR2",3.785420241,3.505541499,3.593967367,3.937376969,3.596581619,3.629049898,3.609604331,4.507255371,3.592749751,3.66202319,3.684740834,3.717661309,3.667609661,3.95732731
"ARPC1A",9.705653244,9.410107632,9.416770443,9.256616028,9.735330512,9.562697236,9.560776901,9.579702974,9.680020984,9.748174329,9.465030288,9.720976585,9.539131634,9.769479836
"HTATIP2",8.983815423,8.883375221,8.716626379,8.282824735,9.011048503,8.904289117,9.284269418,8.372991833,9.696731839,9.583920926,9.493439973,9.294783735,9.043704542,9.197228562
"AGPAT1",9.605469728,9.445704058,9.335622199,9.681914737,9.62345012,9.380086857,9.293145081,8.78349232,9.138869254,9.072087983,9.252063606,9.593864691,9.54047821,9.786784073
"AGPAT2",7.66885897,7.593695714,7.520547217,7.91303815,7.803614109,7.625560326,7.604790386,8.133601467,7.771563814,7.631497723,8.052184973,7.872263803,7.807111374,7.729844789
"RPP30",8.048335253,8.050194431,8.154317077,8.166295884,8.065301255,8.353721927,8.207106717,7.922669817,8.135584756,8.208520505,8.354817981,8.29059582,8.19835848,8.297319595
"RPP38",7.617960505,7.647863278,7.779054304,7.616113127,7.61942422,7.773375883,7.665677963,8.131597441,7.583309047,7.440223816,7.66939579,7.994214844,7.421835699,7.641547153
"SPTLC1",8.77652024,8.964251564,8.988642316,7.982756892,8.585439213,8.966088859,8.986194897,7.434213998,9.006980257,8.891468887,8.584152364,8.465723874,8.54413614,8.678574533
"SLC35A1",8.075075018,8.219046187,8.413796195,7.073501128,7.761240511,8.010180605,8.122262955,5.837183588,7.850200775,7.634216689,7.781191879,8.378881826,7.807059072,7.906310556
"SLC19A2",4.81713557,4.819438262,5.156558957,3.839663263,4.136753262,4.610717455,4.772743044,3.886961715,4.291997273,4.673714163,4.381484629,4.880994276,4.326015376,4.645294133
"IFI44",6.735215235,7.000332127,6.988159519,5.875801131,6.36336541,7.038424483,9.224421704,9.317387725,11.2710123,10.88590036,10.59825443,10.69412074,10.16813429,10.20603639
"OLFM4",4.106498712,3.623864949,3.610973518,3.503757089,3.600361027,3.509229209,3.710708918,3.465519609,3.920894164,4.177680498,3.974748033,4.119631389,3.599662575,3.632696369
"CXCL13",3.38467056,3.714569854,3.488057458,3.870160968,3.632084155,3.611947275,3.631649015,3.579786724,3.692915678,3.7120366,3.473714908,3.634873486,3.788417834,3.7607785
"ARFGEF2",4.91186297,4.839333487,5.200905694,4.601861101,5.082974641,5.050776775,4.800095506,5.530872193,4.560097414,4.787387085,4.988781839,4.927458914,4.863631966,4.785367745
"ARFGEF1",8.590171567,8.568171539,8.718524984,7.782047265,8.3704939,8.545922936,8.515695958,6.988130946,8.334738861,8.427191253,7.960235906,8.276317797,8.224221599,8.24142857
